order_id,date,product,category,quantity,unit_price,region,customer_type,salesperson,total_amount,discount_rate,discount_amount,final_amount,unit_cost,total_cost,profit,profit_margin,year,quarter,month,month_name,day_of_week,week_number
ORD-00001,2023-04-13 00:00:00.000000,Keyboard,Accessories,7,74.07,South,B2B,Agent_13,518.49,0.0,0.0,518.49,45.6456285317255,319.5193997220785,198.9706002779215,38.375012107836504,2023,2,4,April,Thursday,15
ORD-00002,2023-12-15 00:00:00.000000,Smartphone Basic,Mobile Devices,4,376.84,North,B2B,Agent_02,1507.36,0.1,150.736,1356.6239999999998,235.48496531036415,941.9398612414566,414.6841387585432,30.567359766489705,2023,4,12,December,Friday,50
ORD-00003,2023-09-28 00:00:00.000000,Mouse,Accessories,14,31.24,West,B2B,Agent_06,437.35999999999996,0.1,43.736,393.62399999999997,20.188144753255067,282.6340265455709,110.98997345442905,28.196952791097356,2023,3,9,September,Thursday,39
ORD-00004,2023-04-17 00:00:00.000000,Webcam,Peripherals,14,100.11,South,B2B,Agent_17,1401.54,0.0,0.0,1401.54,53.853649655367846,753.9510951751498,647.5889048248501,46.20552426793743,2023,2,4,April,Monday,16
ORD-00005,2023-03-13 00:00:00.000000,Laptop Pro,Computers,3,1190.3,South,B2C,Agent_02,3570.8999999999996,0.0,0.0,3570.8999999999996,657.5894900050106,1972.7684700150317,1598.131529984968,44.75430647693769,2023,1,3,March,Monday,11
ORD-00006,2023-07-08 00:00:00.000000,Monitor,Peripherals,16,281.44,South,B2C,Agent_17,4503.04,0.0,0.0,4503.04,154.42652291386676,2470.824366621868,2032.2156333781318,45.12985968097401,2023,3,7,July,Saturday,27
ORD-00007,2023-01-21 00:00:00.000000,Webcam,Peripherals,7,96.28,East,B2C,Agent_08,673.96,0.15,101.09400000000001,572.866,51.01245792121887,357.0872054485321,215.7787945514679,37.66653886798447,2023,1,1,January,Saturday,3
ORD-00008,2023-04-13 00:00:00.000000,Smartphone Basic,Mobile Devices,18,361.27,South,B2C,Agent_12,6502.86,0.0,0.0,6502.86,198.29355797747124,3569.2840435944822,2933.5759564055174,45.11208847192647,2023,2,4,April,Thursday,15
ORD-00009,2023-05-02 00:00:00.000000,Headphones,Accessories,7,160.15,North,B2C,Agent_16,1121.05,0.05,56.0525,1064.9975,99.73029421028039,698.1120594719628,366.8854405280372,34.44941800596125,2023,2,5,May,Tuesday,18
ORD-00010,2023-08-03 00:00:00.000000,Mouse,Accessories,8,31.19,North,B2C,Agent_05,249.52,0.0,0.0,249.52,17.880675521601923,143.04540417281538,106.47459582718463,42.67176812567514,2023,3,8,August,Thursday,31
ORD-00011,2023-11-27 00:00:00.000000,Headphones,Accessories,14,152.03,East,B2B,Agent_07,2128.42,0.1,212.842,1915.578,99.36414555731155,1391.0980378023617,524.4799621976383,27.379723623764647,2023,4,11,November,Monday,48
ORD-00012,2023-03-29 00:00:00.000000,Keyboard,Accessories,6,77.95,North,B2C,Agent_03,467.70000000000005,0.0,0.0,467.70000000000005,47.33776908175842,284.0266144905505,183.67338550944953,39.27162401313866,2023,1,3,March,Wednesday,13
ORD-00013,2023-04-10 00:00:00.000000,Smartphone Premium,Mobile Devices,2,842.91,West,B2C,Agent_06,1685.82,0.0,0.0,1685.82,457.2009868708821,914.4019737417642,771.4180262582357,45.75921665766427,2023,2,4,April,Monday,15
ORD-00014,2023-12-26 00:00:00.000000,Keyboard,Accessories,6,80.94,South,B2C,Agent_03,485.64,0.0,0.0,485.64,48.03597982544308,288.2158789526585,197.4241210473415,40.65235998833323,2023,4,12,December,Tuesday,52
ORD-00015,2023-06-01 00:00:00.000000,Laptop Pro,Computers,1,1255.07,East,B2B,Agent_09,1255.07,0.0,0.0,1255.07,776.4788766129935,776.4788766129935,478.5911233870064,38.13262394822651,2023,2,6,June,Thursday,22
ORD-00016,2023-05-11 00:00:00.000000,Tablet,Mobile Devices,7,537.41,East,B2C,Agent_13,3761.87,0.0,0.0,3761.87,361.80536791911214,2532.637575433785,1229.2324245662148,32.676100571423646,2023,2,5,May,Thursday,19
